/home/muralidhar/Downloads/captionfiles/thetruthaboutcharlie2002720pblurayx264ytsag-english-126967/The.Truth.About.Charlie.2002.720p.BluRay.x264-[YTS.AM].srt,0.3199,0.2323,0.4436,2.95423728813559,0.6629,2
/home/muralidhar/Downloads/captionfiles/animalfactory2000720pblurayx264ytsag-english-117488/Animal Factory PROPER DVDRip XviD-EXiLE.UsaBit.com.srt,0.2866,0.3113,0.5125,3.29373848987109,0.6629,2
/home/muralidhar/Downloads/captionfiles/jesuschristsuperstarliveinconcert2018720pamznweb-dlddp51h264-ntg-english-124515/Jesus.Christ.Superstar.Live.in.Concert.2018.720p.AMZN.WEB-DL.DDP5.1.H.264-NTG.srt,0.1327,0,0.5264,1.94976359338061,0.662,2
/home/muralidhar/Downloads/captionfiles/theblackabbot1963720pblurayx264ytsag-english-119000/The.Black.Abbot.1963.720p.BluRay.x264-BiPOLAR.srt,0.2682,0.2732,0.5639,3.25934861278649,0.6609,2
/home/muralidhar/Downloads/captionfiles/butdeliverusfromevil2017720pweb-dlx264aac-esc-english-124394/But.Deliver.Us.From.Evil.2017.720p.WEB-DL.x264.AAC-eSc.srt,0.2639,0.3757,0.5605,3.53248693054518,0.6603,2
/home/muralidhar/Downloads/captionfiles/anextremelygoofymovie2000720pblurayx264ytsag-english-130060/An.Extremely.Goofy.Movie.2000.720p.WEBRip.x264-[YTS.AM].srt,0.3322,0.2405,0.4791,3.09462151394422,0.6601,2
/home/muralidhar/Downloads/captionfiles/hettweedegelaat2017720pblurayx264ytsag-english-123829/Control..2017.720p.BluRay.srt,0.3073,0.238,0.5263,3.15314494074749,0.6601,2
/home/muralidhar/Downloads/captionfiles/themission1986720pblurayx264ytsag-english-127356/The.Mission.1986.1080p.BluRay.H264.AAC-RARBG-eng.srt,0.3748,0.2608,0.5107,3.3714859437751,0.66,2
/home/muralidhar/Downloads/captionfiles/duck-duck-goose-2018-bluray-720p-ytsam-english-130354/Duck Duck Goose (2018) [BluRay] [720p] [YTS.AM].srt,0.2377,0.1769,0.4762,2.61097461097461,0.6588,2
/home/muralidhar/Downloads/captionfiles/themanwithoneredshoe1985internaldvdripxvid-nogrp-english-124518/The.Man.With.One.Red.Shoe.1985.iNTERNAL.DVDRip.XviD-NoGrp.srt,0.3141,0.2057,0.5288,3.03703703703704,0.6547,2
/home/muralidhar/Downloads/captionfiles/coco2017720pblurayx264-ytsag-english-120804 (1)/Coco.2017.720p.BluRay.x264-YTS.AG.srt,0.2095,0.2788,0.4903,2.83247422680412,0.6545,2
/home/muralidhar/Downloads/captionfiles/coco2017720pblurayx264-ytsag-english-120804/Coco.2017.720p.BluRay.x264-YTS.AG.srt,0.2095,0.2788,0.4903,2.83247422680412,0.6545,2
/home/muralidhar/Downloads/captionfiles/Readability caption files data/Apocalypse.Now.Redux.1979.BDRip.YIFY.srt,0.237,0.2644,0.5083,2.90555291884196,0.6525,2
/home/muralidhar/Downloads/captionfiles/snowtime20151080pblurayx264-ytsag-english-102701/Snowtime!.2015.1080p.BluRay.x264-[YTS.AG].srt,0.2719,0.1592,0.4996,2.67268041237113,0.6518,2
/home/muralidhar/Downloads/captionfiles/gun-shy-2000-english-124503/Gun Shy (2000).srt,0.2773,0.3068,0.4816,3.0587044534413,0.6516,2
