/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Django.Unchained.2012.1080p-720p.BluRay.x264.YIFY.Hearing.Impaired.Eng.srt,0.2931,0.3308,0.5278,2.5275459098497497,0.5443
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/the-dark-knight-rises-yify-english.srt,0.2808,0.2266,0.5051,2.43592552026287,0.5843
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/the-dark-knight-rises-yify-english.srt,0.2513,0.2797,0.5498,2.3106893106893107,0.5323
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/The.Departed.2006.BluRay.1080p.x264.YIFY.srt,0.2877,0.2362,0.3686,2.3179551122194515,0.615
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/The.Departed.2006.BluRay.1080p.x264.YIFY.srt,0.2879,0.2713,0.562,2.0856929955290613,0.4624
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/The.Lord.of.the.Rings.The.Two.Towers.2002.Extended.BluRay.1080p.DTSES6.1.x264-CHD.srt,0.2864,0.2789,0.5311,2.338709677419355,0.5312
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/The.Lord.of.the.Rings.The.Two.Towers.2002.Extended.BluRay.1080p.DTSES6.1.x264-CHD.srt,0.2958,0.2953,0.5476,2.3446327683615817,0.5143
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Il buono, il brutto, il cattivo (1966) [1080p].srt,0.2095,0.295,0.5244,2.6064139941690962,0.6052
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Il buono, il brutto, il cattivo (1966) [1080p].srt,0.2643,0.3657,0.515,3.013,0.62
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Intouchables Untouchable  (2011).DVDRip.BLOODYMARY.en.srt,0.2552,0.2097,0.4927,2.607142857142857,0.6327
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Intouchables Untouchable  (2011).DVDRip.BLOODYMARY.en.srt,0.2107,0.1954,0.4653,2.6107954545454546,0.6662
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Memento.srt,0.2612,0.3196,0.5244,2.469945355191257,0.5525
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Memento.srt,0.2063,0.2542,0.4863,2.526935264825713,0.6253
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/WALL-E (2008) 1080p.srt,0.2744,0.2089,0.5331,2.392948717948718,0.5753
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/WALL-E (2008) 1080p.srt,0.237,0.2644,0.5083,2.9055529188419555,0.6525
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-yify-english.srt,0.2492,0.2994,0.5343,3.2316426949280848,0.6649
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-yify-english.srt,0.2877,0.3519,0.5371,2.9009661835748792,0.5944
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Rear Window (1954).en.srt,0.294,0.2294,0.5433,2.6584022038567494,0.5987
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/Rear Window (1954).en.srt,0.3263,0.237,0.5794,2.236920039486673,0.4892
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/the-dark-knight-yify-english.srt,0.2409,0.0056,0.0121,2.1966145833333335,0.8823
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/the-dark-knight-yify-english.srt,0.239,0.3026,0.5336,2.0584255842558425,0.4777
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/21. The.Silence.of.the.Lambs.1991.1080p-720p.BluRay.x264.YIFY.Eng.srt,0.3015,0.246,0.5108,2.6504401864319007,0.6007
/home/muralidhar/My data/my research/mypapers/4/movie database/top 50 movies/Readability caption files data/21. The.Silence.of.the.Lambs.1991.1080p-720p.BluRay.x264.YIFY.Eng.srt,0.2493,0.3135,0.5466,2.6162858816637375,0.576
